date,time,sport,channel,comp,ht,at
2025-06-13,10:30PM,Football,Star+ North America,USL League One,One Knoxville SC,Richmond Kickers
2025-06-13,10:30PM,Football,ESPN +,USL League One,One Knoxville SC,Richmond Kickers
2025-06-14,11:30PM,Football,MLS Seasons Pass,American Major League Soccer,Columbus Crew,Vancouver Whitecaps
2025-06-14,2:30AM,Football,MLS Seasons Pass,American Major League Soccer,Los Angeles FC,Toronto FC
2025-06-14,11:30PM,Football,MLS Seasons Pass,American Major League Soccer,Philadelphia Union,Charlotte
2025-06-14,11:00PM,Football,Paramount+ US,American USL Championship,Indy Eleven,Pittsburgh Riverhounds
2025-06-14,11:00PM,Football,ESPN +,American USL Championship,Lexington SC,New Mexico United
2025-06-14,10:00PM,Football,Star+ North America,American USL Championship,Loudoun United,Detroit City FC
2025-06-14,10:00PM,Football,ESPN +,American USL Championship,Loudoun United,Detroit City FC
2025-06-14,11:30PM,Football,FuboTV,American USL Championship,Tampa Bay Rowdies,Miami FC
2025-06-14,7:00PM,Football,OneSoccer CA,Canadian Premier League,HFX Wanderers,Cavalry
2025-06-14,7:00PM,Football,Fox Soccer Plus,Canadian Premier League,HFX Wanderers,Cavalry
2025-06-14,7:00PM,Football,FuboTV,Canadian Premier League,HFX Wanderers,Cavalry
2025-06-14,10:00PM,Football,OneSoccer CA,Canadian Premier League,Pacific FC,York United
2025-06-14,10:00PM,Football,Fox Soccer Plus,Canadian Premier League,Pacific FC,York United
2025-06-14,10:00PM,Football,FuboTV,Canadian Premier League,Pacific FC,York United
2025-06-15,12:30AM,Football,MLS Seasons Pass,American Major League Soccer,Chicago Fire,Nashville SC
2025-06-15,12:30AM,Football,MLS Seasons Pass,American Major League Soccer,Houston Dynamo,CF Montréal
2025-06-15,12:30AM,Football,RDS,American Major League Soccer,Houston Dynamo,CF Montréal
2025-06-15,12:30AM,Football,TSN 2,American Major League Soccer,Houston Dynamo,CF Montréal
2025-06-15,1:30AM,Football,MLS Seasons Pass,American Major League Soccer,Real Salt Lake,FC Dallas
2025-06-15,3:00AM,Football,FuboTV,American USL Championship,Sacramento Republic,San Antonio
2025-06-15,11:00PM,Football,OneSoccer CA,Canadian Premier League,Atlético Ottawa,Valour
2025-06-15,11:00PM,Football,Fox Sports 2 US,Canadian Premier League,Atlético Ottawa,Valour
2025-06-15,11:00PM,Football,TSN 2,Canadian Premier League,Atlético Ottawa,Valour
2025-06-15,8:00PM,Football,OneSoccer CA,Canadian Premier League,Vancouver FC,Forge FC
2025-06-15,8:00PM,Football,Fox Sports 2 US,Canadian Premier League,Vancouver FC,Forge FC
2025-06-20,11:00PM,Football,ESPN 2 US,American USL Championship,Lexington SC,Colorado Springs
2025-06-21,10:00PM,Football,OneSoccer CA,Canadian Premier League,Cavalry,Pacific FC
2025-06-21,7:00PM,Football,OneSoccer CA,Canadian Premier League,HFX Wanderers,Vancouver FC
2025-06-25,11:30PM,Football,MLS Seasons Pass,American Major League Soccer,CF Montréal,FC Cincinnati
2025-06-25,11:30PM,Football,MLS Seasons Pass,American Major League Soccer,Columbus Crew,Atlanta United
2025-06-26,12:30AM,Football,MLS Seasons Pass,American Major League Soccer,Chicago Fire,Philadelphia Union
2025-07-03,12:00AM,Football,Paramount+ US,American USL Championship,Birmingham Legion,Charleston Battery
2025-07-05,1:00AM,Football,Paramount+ US,American USL Championship,Colorado Springs,Louisville City
2025-07-06,9:00PM,Football,Paramount+ US,American USL Championship,Charleston Battery,North Carolina FC
2025-07-10,1:00AM,Football,Paramount+ US,US Open Cup,Nashville SC,FC Dallas
